,Unnamed: 0,tc,test #,kp,kd,ki,ess_step,IAE,ITAE,R_ess_step,R_IAE,R_ITAE,Kr,Tn,Tv,PR,RT,P-Eng,S-Eng,Eng-rel,osc_p,osc_s,parameter_code,eng-diff,mr_RT,mr_PR,mr_ess_g,mr_IAE,mr_ITAE,mr_Eng_p_s,mr_EngS,mr_osc,total_one
1050,1050,tc104,141,3.333333333333333,0.2,151.51515151515153,0.7692307692307692,0.0994987437106619,0.0052799999999999,5.646872892839383e-06,5.740218376932255,0.366830458481593,0.3,0.022,0.06,1.005,0.156,40502591.176,601095688712.378,6.738127046421111e-05,1,3,lll,390044065571.178,0.0,1.0,,1.0,,,1.0,1.0,4.0
1051,1051,tc104,142,7.142857142857142,0.5714285714285714,510.204081632653,0.8771929824561403,0.1341640786499873,0.0096,3.849554474300021e-06,6.3734132316188346,0.4818888680849873,0.14,0.014,0.08,1.0,0.183,37906207.438,569411662164.084,6.657083083605125e-05,1,1,llh,421728092119.47205,0.0,1.0,0.0,0.0,1.0,1.0,,,3.0
1052,1052,tc104,143,20.0,0.1,2666.666666666667,0.9523809523809523,0.0410791918128874,0.0009,1.5736270995959387,20.205241435750818,7.838368179136847,0.05,0.0075,0.005,1.678,0.074,287759754.75,1063223517405.762,0.0002706484102723,1,1,hhl,-72083763122.20593,1.0,0.0,0.0,,1.0,1.0,,,3.0
1053,1053,tc104,144,7.692307692307692,0.3076923076923076,197.2386587771203,0.8849557522123894,0.1643167672515498,0.0144,0.0007096532167452,7.952995253550901,1.1607238370365365,0.13,0.039,0.04,1.135,0.137,44698683.373,287005428632.15,0.0001557415955023,1,3,lll,704134325651.406,0.0,0.0,,1.0,,,1.0,1.0,3.0
1054,1054,tc104,145,4.3478260869565215,0.0434782608695652,90.57971014492752,0.8130081300813008,0.0685248288864192,0.0025043478260869,0.0093192105171624,6.374598290620896,0.8535826768865146,0.23,0.048,0.01,1.177,0.095,67607078.53,583023626841.453,0.0001159594147089,1,1,lll,408116127442.103,1.0,0.0,,1.0,,,1.0,1.0,4.0
1055,1055,tc104,146,4.3478260869565215,0.0434782608695652,131.75230566534913,0.8130081300813008,0.05681778655989,0.0017217391304347,0.0047516091561163,6.009298771797888,0.7532726981706506,0.23,0.033,0.01,1.22,0.081,85929831.125,652167905640.04,0.000131760288082,1,1,lll,338971848643.516,1.0,0.0,,1.0,,,1.0,1.0,4.0
1056,1056,tc104,147,14.285714285714285,1.1428571428571428,4761.9047619047615,0.9345794392523364,0.0878310065653679,0.0041142857142857,6.725672818674866e-06,6.31505585270485,0.5484316121612705,0.07,0.003,0.08,1.0,0.194,50786364.598,1367805056774.116,3.712982661270205e-05,5,33,hhh,-376665302490.55994,0.0,1.0,1.0,1.0,0.0,1.0,,,4.0
1057,1057,tc104,148,6.25,0.25,93.98496240601504,0.8620689655172414,0.1934069543734144,0.01995,0.0056054048081222,8.5429682118283,1.306450753454691,0.16,0.0665,0.04,1.108,0.163,37065654.201,355686719539.996,0.000104208709982,1,3,lll,635453034743.56,0.0,0.0,,0.0,,,1.0,1.0,2.0
1058,1058,tc104,149,7.692307692307692,0.4615384615384614,265.2519893899204,0.8849557522123894,0.173537847789422,0.0160615384615384,0.0003001434931775,6.927270421645292,0.6873009706942124,0.13,0.029,0.06,1.066,0.151,39178211.501,312428233808.289,0.0001253990749281,1,3,lll,678711520475.2671,0.0,0.0,,1.0,,,1.0,1.0,3.0
1059,1059,tc104,14,14.285714285714285,0.5714285714285714,151.9756838905775,0.9345794392523364,0.3476451392686842,0.0644571428571428,0.685271517238732,15.96347140325602,4.42695673641123,0.07,0.094,0.04,1.153,0.261,23097348.16,66059567058.164,0.0003496442557618,1,3,hlh,925080187225.3921,0.0,0.0,1.0,,,1.0,,,2.0
