tc;test #;kp;kd;ki;ess_step;IAE;ITAE;Kr;Tn;Tv;PR;RT;P-Eng;S-Eng;Eng-rel;osc_p;osc_s;parameter_code;eng-diff;mr_lll_RT;mr_lll_EngS;mr_lll_osc;mr_IAE;mr_PR;total_one
tc100;548;10.0;0.35;3333.333333333333;0.9090909090909091;0.0486055552380589;0.00126;0.1;0.003;0.035;1.002;0.095;439761895.229;5319650279781.606;8.266744468154286e-05;7;7;lhl;-4328510525498.0503;;;;;;
tc100;549;20.0;01.Jun;298.5074626865671;0.9523809523809523;0.491121166312347;0.1286399999999999;0.05;0.067;0.08;01.Mai;0.28;88641812.917;64896292489.844;0.0013658994915753;1;3;hlh;926243461793.712;;;;;;
tc100;54;3.333333333333333;0.2;61.16207951070336;0.7692307692307692;0.1566045976336582;0.01308;0.3;0.0545;0.06;1.009;0.18;159043368.782;963659596781.065;0.0001650410262225;1;9;lll;27480157502.49109;0.0;1.0;0.0;0.0;1.0;2.0
tc100;550;10.0;0.25;625.0;0.9090909090909091;0.0948683298050513;0.0048;0.1;0.016;0.025;1.126;0.079;362154873.434;837912334290.568;0.0004322109349788;1;1;lll;153227419992.98804;1.0;1.0;1.0;1.0;0.0;4.0
tc100;551;7.692307692307692;0.1923076923076923;809.7165991902833;0.8849557522123894;0.0641137810698832;0.0021923076923076;0.13;0.0095;0.025;1.026;0.065;431827708.586;1797042493469.133;0.0002402991082043;1;1;lll;-805902739185.577;1.0;0.0;1.0;1.0;1.0;4.0
tc100;552;6.666666666666667;0.3666666666666667;1904.7619047619048;0.8695652173913044;0.0537354631505117;0.00154;0.15;0.0035;0.055;01.Mär;0.153;537110480.722;19494349499089.97;2.7552110971801e-05;19;19;lhl;-18503209744806.414;;;;;;
tc100;553;8.333333333333334;0.5;101.010101010101;0.8928571428571428;0.3046514401738485;0.0495;0.12;0.0825;0.06;1.036;0.21;124682687.113;257521063671.076;0.0004841650051284;1;3;lll;733618690612.48;0.0;1.0;1.0;0.0;1.0;3.0
tc100;554;14.285714285714285;0.8571428571428571;213.2196162046908;0.9345794392523364;0.3594638865230911;0.0689142857142857;0.07;0.067;0.06;1.059;0.221;113835571.423;121042117597.95;0.0009404624909249;1;3;hlh;870097636685.6061;;;;;;
tc100;555;10.0;0.6;190.47619047619048;0.9090909090909091;0.2662235902394826;0.0377999999999999;0.1;0.0525;0.06;1.042;0.186;137351960.799;225380094262.955;0.0006094236549513;1;3;llh;765759660020.6011;;;;;;
tc100;556;7.142857142857142;0.0;952.3809523809524;div0;0.0377999999999999;0.0377999999999999;0.14;0.0075;0.0;Jän.55;0.052;2625425244.882;13862775749152.482;0.0001893866922749;1;1;lll;-12871635994868.926;1.0;0.0;1.0;1.0;0.0;3.0
tc100;557;4.545454545454546;0.1818181818181818;135.68521031207598;0.819672131147541;0.1170664147163713;0.0073090909090909;0.22;0.0335;0.04;1.024;0.118;230667526.653;924488020057.516;0.0002495083999451;1;3;lll;66651734226.04004;1.0;1.0;1.0;0.0;1.0;4.0
tc100;558;8.333333333333334;0.4583333333333333;213.67521367521368;0.8928571428571428;0.200546129356814;0.02145;0.12;0.039;0.055;1.034;0.157;164965812.167;345948845757.284;0.0004768503037085;1;3;lll;645190908526.272;0.0;1.0;1.0;0.0;1.0;3.0
tc100;559;7.692307692307692;0.6153846153846153;904.9773755656108;0.8849557522123894;0.1084860856019368;0.006276923076923;0.13;0.0085;0.08;1.0;0.204;162371842.852;845326573298.142;0.0001920817917961;7;63;llh;145813180985.41406;;;;;;
tc100;55;4.545454545454546;0.1590909090909091;178.25311942959004;0.819672131147541;0.0955397347133165;0.0048681818181818;0.22;0.0255;0.035;1.023;0.102;270295482.045;1138861840716.857;0.000237338255073;1;1;lll;-147722086433.3009;1.0;0.0;1.0;1.0;1.0;4.0
tc100;560;7.692307692307692;0.0769230769230769;301.65912518853696;0.8849557522123894;0.0664338884791605;0.0023538461538461;0.13;0.0255;0.01;1.249;0.071;465418389.537;1066856113213.296;0.0004362522591122;1;1;lll;-75716358929.73999;1.0;0.0;1.0;1.0;0.0;3.0
tc100;561;7.142857142857142;0.1785714285714285;396.8253968253968;0.8771929824561403;0.0850420064270761;0.0038571428571428;0.14;0.018;0.025;1.084;0.076;365178838.637;1136220901479.523;0.0003213977477104;1;1;lll;-145081147195.96692;1.0;0.0;1.0;1.0;0.0;3.0
tc100;562;7.692307692307692;0.6153846153846153;77.70007770007768;0.8849557522123894;0.370239008043349;0.0731076923076923;0.13;0.099;0.08;1.021;0.263;102663295.655;247813198478.064;0.0004142769484656;1;5;llh;743326555805.4921;;;;;;
tc100;563;11.11111111111111;0.0555555555555555;555.5555555555555;0.9174311926605504;0.05;0.0013333333333333;0.09;0.02;0.005;1.395;0.072;589603255.504;995798555002.107;0.0005920908928239;1;1;ell;-4658800718.551025;;;;;;
tc100;564;11.11111111111111;0.2777777777777778;1234.567901234568;0.9174311926605504;0.075;0.003;0.09;0.009;0.025;1.094;0.066;449386594.946;1489733816576.366;0.0003016556313253;1;1;ell;-498594062292.80994;;;;;;
tc100;565;3.333333333333333;0.1166666666666666;833.3333333333334;0.7692307692307692;0.0324037034920393;0.00056;0.3;0.004;0.035;1.024;0.12;1995090741.358;104401541127788.95;1.9109782478363807e-05;43;43;lll;-103410401373505.39;1.0;0.0;0.0;1.0;1.0;3.0
tc100;566;20.0;01.Feb;202.020202020202;0.9523809523809523;0.5170106381884225;0.1425599999999999;0.05;0.099;0.06;1.058;0.298;83995062.996;62644175508.652;0.0013408279750509;1;3;hlh;928495578774.904;;;;;;
tc100;567;16.666666666666668;0.9166666666666669;202.020202020202;0.9433962264150942;0.4125;0.09075;0.06;0.0825;0.055;1.066;0.246;102230626.184;91250265209.155;0.0011203323732777;1;3;hlh;899889489074.401;;;;;;
tc100;568;Jun.25;0.03125;94.69696969696967;0.8620689655172414;0.0681221329671935;0.0024749999999999;0.16;0.066;0.005;1.144;0.087;322653549.665;834139755510.456;0.0003868099410602;1;1;lll;156999998773.09998;1.0;1.0;1.0;1.0;0.0;4.0
tc100;569;20.0;01.Feb;1904.7619047619048;0.9523809523809523;0.1683745824048273;0.01512;0.05;0.0105;0.06;1.007;0.14;193333155.423;315775882693.307;0.0006122480088537;1;1;hhh;675363871590.249;;;;;;
tc100;56;4.3478260869565215;0.2391304347826086;434.7826086956521;0.8130081300813008;0.0733514470382738;0.0028695652173913;0.23;0.01;0.055;1.0;0.149;231806158.79;2028769720973.35;0.0001142594728192;5;41;lll;-1037629966689.7941;0.0;0.0;0.0;1.0;1.0;2.0
tc100;570;11.11111111111111;0.0;170.94017094017093;div0;0.0028695652173913;0.0028695652173913;0.09;0.065;0.0;1.214;0.113;256991681.311;324741591158.982;0.0007913728586283;1;1;ell;666398163124.574;;;;;;
tc100;571;3.333333333333333;0.1333333333333333;162.60162601626016;0.7692307692307692;0.0784219357067906;0.00328;0.3;0.0205;0.04;1.003;0.115;259823256.08;1702949084656.717;0.0001525725333898;1;3;lll;-711809330373.161;1.0;0.0;1.0;1.0;1.0;4.0
tc100;572;10.0;0.55;800.0;0.9090909090909091;0.1243734296383275;0.00825;0.1;0.0125;0.055;1.001;0.135;213662671.128;626506503654.699;0.0003410382332531;1;1;lll;364633250628.85706;0.0;1.0;1.0;0.0;1.0;3.0
tc100;573;11.11111111111111;0.2777777777777778;1481.4814814814815;0.9174311926605504;0.0684653196881457;0.0025;0.09;0.0075;0.025;1.071;0.061;480460109.262;1893968473851.503;0.0002536790426532;1;1;ehl;-902828719567.9469;;;;;;
tc100;574;14.285714285714285;1.1428571428571428;262.1231979030144;0.9345794392523364;0.3743565908900992;0.0747428571428571;0.07;0.0545;0.08;1.036;0.24;105039008.034;115658687724.759;0.0009081808733985;1;3;hlh;875481066558.797;;;;;;
tc100;575;16.666666666666668;1.0;775.1937984496125;0.9433962264150942;0.2199431744792277;0.0258;0.06;0.0215;0.06;1.038;0.155;164549551.63;192857020775.436;0.0008532204374431;1;1;hlh;798282733508.12;;;;;;
tc100;576;10.0;0.0;101.010101010101;div0;0.0258;0.0258;0.1;0.099;0.0;1.126;0.129;208382187.354;325359610273.167;0.0006404672884229;1;1;lll;665780144010.389;0.0;1.0;1.0;1.0;0.0;3.0
tc100;577;10.0;0.25;1000.0;0.9090909090909091;0.075;0.003;0.1;0.01;0.025;1.085;0.066;437350086.353;1470087751247.678;0.0002974993064065;1;1;lll;-478947996964.12195;1.0;0.0;1.0;1.0;0.0;3.0
tc100;578;8.333333333333334;0.2916666666666667;198.4126984126984;0.8928571428571428;0.1660195771588399;0.0147;0.12;0.042;0.035;1.078;0.125;209369582.173;415130878371.118;0.0005043459619157;1;1;lll;576008875912.438;1.0;1.0;1.0;0.0;0.0;3.0
tc100;579;4.3478260869565215;0.2391304347826086;334.44816053511704;0.8130081300813008;0.0836335173085008;0.0037304347826086;0.23;0.013;0.055;1.0;0.147;219740692.823;1433676999809.736;0.0001532707108031;5;27;lll;-442537245526.18005;0.0;0.0;0.0;1.0;1.0;2.0
tc100;57;7.692307692307692;0.0769230769230769;1398.6013986013986;0.8849557522123894;0.030853250670279;0.0005076923076923;0.13;0.0055;0.01;1.257;0.052;887924746.626;5434149444579.105;0.0001633971895108;1;1;lhl;-4443009690295.55;;;;;;
tc100;580;7.692307692307692;0.2692307692307692;384.6153846153846;0.8849557522123894;0.1100699078558014;0.0064615384615384;0.13;0.02;0.035;1.044;0.096;277215336.264;768644812119.833;0.0003606546637574;1;1;lll;222494942163.72302;1.0;1.0;1.0;0.0;1.0;4.0
tc100;581;4.3478260869565215;0.0;82.03445447087776;div0;0.0064615384615384;0.0064615384615384;0.23;0.053;0.0;1.151;0.066;447514083.778;1570498168586.4;0.0002849504015536;1;1;lll;-579358414302.8439;1.0;0.0;1.0;1.0;0.0;3.0
tc100;582;Jun.25;0.34375;85.6164383561644;0.8620689655172414;0.2376151036866133;0.0301124999999999;0.16;0.073;0.055;1.031;0.182;146685414.212;423522284965.815;0.0003463463893614;1;3;lll;567617469317.741;0.0;1.0;1.0;0.0;1.0;3.0
tc100;583;10.0;0.6;1052.6315789473686;0.9090909090909091;0.1132475165290612;0.00684;0.1;0.0095;0.06;1.0;0.151;208654208.271;776017857746.281;0.0002688781014356;17;51;llh;215121896537.27502;;;;;;
tc100;584;4.545454545454546;0.0454545454545454;221.72949002217297;0.819672131147541;0.0457885456101295;0.0011181818181818;0.22;0.0205;0.01;1.151;0.061;500776353.49;1746776626963.876;0.0002866859710393;1;1;lll;-755636872680.32;1.0;0.0;1.0;1.0;0.0;3.0
tc100;585;11.11111111111111;0.611111111111111;4444.444444444444;0.9174311926605504;0.0586301969977928;0.0018333333333333;0.09;0.0025;0.055;1.041;0.132;650366423.651;20903268410104.965;3.1113145125984355e-05;17;17;ehh;-19912128655821.41;;;;;;
tc100;586;4.3478260869565215;0.2391304347826086;65.87615283267456;0.8130081300813008;0.188443279437653;0.0189391304347826;0.23;0.066;0.055;01.Feb;0.173;159977246.599;695767012228.428;0.0002299293352333;1;3;lll;295372742055.12805;0.0;1.0;1.0;0.0;1.0;3.0
tc100;587;10.0;0.55;317.46031746031747;0.9090909090909091;0.1974366987163227;0.02079;0.1;0.0315;0.055;1.035;0.151;169904891.14;301801918452.548;0.0005629682276745;1;1;lll;689337835831.008;0.0;1.0;1.0;0.0;1.0;3.0
tc100;588;Jun.25;0.25;1136.3636363636365;0.8620689655172414;0.0556214886532174;0.0016499999999999;0.16;0.0055;0.04;1.0;0.117;319772811.226;2633897036316.753;0.0001214067242632;21;55;lll;-1642757282033.1968;1.0;0.0;0.0;1.0;1.0;3.0
tc100;589;6.666666666666667;0.2666666666666666;246.9135802469136;0.8695652173913044;0.1272792206135785;0.00864;0.15;0.027;0.04;1.035;0.112;235670715.954;684323167756.943;0.0003443851195721;1;1;lll;306816586526.61304;1.0;1.0;1.0;0.0;1.0;4.0
tc100;58;Jun.25;0.375;347.22222222222223;0.8620689655172414;0.1232375754386623;0.0080999999999999;0.16;0.018;0.06;1.0;0.152;190996120.145;734448529881.518;0.0002600537850839;1;3;lll;256691224402.0381;0.0;1.0;1.0;0.0;1.0;3.0
tc100;590;6.666666666666667;0.3666666666666667;67.34006734006734;0.8695652173913044;0.2857883832488647;0.04356;0.15;0.099;0.055;01.Mär;0.205;132140258.013;361310537170.385;0.0003657248942913;1;3;lll;629829217113.171;0.0;1.0;1.0;0.0;1.0;3.0
tc100;591;20.0;0.2;2352.9411764705883;0.9523809523809523;0.0618465843842649;0.0020399999999999;0.05;0.0085;0.01;Jän.43;0.07;738245154.514;1395088026478.218;0.0005291746043994;1;1;hhl;-403948272194.662;;;;;;
tc100;592;3.333333333333333;0.0333333333333333;185.1851851851852;0.7692307692307692;0.0367423461417476;0.0007199999999999;0.3;0.018;0.01;1.085;0.061;483417417.079;1900339719667.352;0.000254384735569;1;1;lll;-909199965383.796;1.0;0.0;1.0;1.0;0.0;3.0
tc100;593;7.692307692307692;0.6153846153846153;93.24009324009324;0.8849557522123894;0.3379804272894648;0.0609230769230769;0.13;0.0825;0.08;1.022;0.248;107672083.344;255845784282.279;0.0004208475963207;1;3;llh;735293970001.2771;;;;;;
tc100;594;8.333333333333334;0.6666666666666667;158.7301587301587;0.8928571428571428;0.2806243040080456;0.042;0.12;0.0525;0.08;1.019;0.221;118679017.499;253555861283.213;0.0004680586632798;1;3;llh;737583893000.343;;;;;;
tc100;595;4.3478260869565215;0.0;222.9654403567447;div0;0.042;0.042;0.23;0.0195;0.0;1.319;0.055;765266490.632;2627762533969.755;0.0002912236097208;1;1;lll;-1636622779686.1987;1.0;0.0;1.0;1.0;0.0;3.0
tc100;596;14.285714285714285;0.3571428571428571;1680.6722689075627;0.9345794392523364;0.0826459747529009;0.0036428571428571;0.07;0.0085;0.025;1.137;0.07;443838461.28;1193171947571.724;0.0003719819781074;1;1;hhl;-202032193288.1681;;;;;;
tc100;597;16.666666666666668;0.0833333333333333;653.5947712418301;0.9433962264150942;0.0691465834296966;0.00255;0.06;0.0255;0.005;1.383;0.098;407726876.586;385232697872.284;0.0010583911460214;1;1;hll;605907056411.272;;;;;;
tc100;598;8.333333333333334;0.2916666666666667;362.3188405797102;0.8928571428571428;0.1228566237530561;0.00805;0.12;0.023;0.035;01.Jun;0.101;261338990.697;618036647806.202;0.0004228535502298;1;1;lll;373103106477.354;1.0;1.0;1.0;0.0;0.0;3.0
tc100;599;8.333333333333334;0.0;617.283950617284;div0;0.00805;0.00805;0.12;0.0135;0.0;1.523;0.055;1176827247.633;3361911300058.611;0.0003500470841132;1;1;lll;-2370771545775.0547;1.0;0.0;1.0;1.0;0.0;3.0
tc100;59;3.333333333333333;0.0166666666666666;202.020202020202;0.7692307692307692;0.0248746859276655;0.00033;0.3;0.0165;0.005;1.175;0.055;621022840.754;2581699101111.979;0.0002405481105394;1;1;lll;-1590559346828.4229;1.0;0.0;1.0;1.0;0.0;3.0
tc100;5;3.333333333333333;0.0833333333333333;155.0387596899225;0.7692307692307692;0.0634921254960014;0.00215;0.3;0.0215;0.025;01.Feb;0.085;331811150.19;1746256073950.623;0.0001900128824974;1;1;lll;-755116319667.067;1.0;0.0;1.0;1.0;1.0;4.0
tc100;600;8.333333333333334;0.5;134.40860215053763;0.8928571428571428;0.2641022529248851;0.0372;0.12;0.062;0.06;1.036;0.191;136214440.931;277633050345.011;0.0004906276135414;1;3;lll;713506703938.545;0.0;1.0;1.0;0.0;1.0;3.0
tc100;601;6.666666666666667;0.0;144.92753623188406;div0;0.0372;0.0372;0.15;0.046;0.0;1.257;0.072;444558553.671;1025859552145.124;0.000433352258349;1;1;lll;-34719797861.56799;1.0;0.0;1.0;1.0;0.0;3.0
tc100;602;6.666666666666667;0.0666666666666666;272.10884353741494;0.8695652173913044;0.0606217782649107;0.00196;0.15;0.0245;0.01;1.234;0.065;498767662.923;1368820313602.509;0.0003643777477339;1;1;lll;-377680559318.953;1.0;0.0;1.0;1.0;0.0;3.0
tc100;603;10.0;0.0;666.6666666666667;div0;0.00196;0.00196;0.1;0.015;0.0;1.538;0.059;1054987201.67;2422844952142.488;0.0004354332293269;1;1;lll;-1431705197858.9316;1.0;0.0;1.0;1.0;0.0;3.0
tc100;604;6.666666666666667;0.3666666666666667;392.156862745098;0.8695652173913044;0.1184271928232701;0.00748;0.15;0.017;0.055;1.001;0.139;207079600.228;763880807875.542;0.0002710888899066;1;1;lll;227258946408.01404;0.0;1.0;1.0;0.0;1.0;3.0
tc100;605;7.692307692307692;0.0384615384615384;260.7561929595828;0.8849557522123894;0.0505260785672568;0.0013615384615384;0.13;0.0295;0.005;1.297;0.07;495955303.018;1057596563285.879;0.0004689456454709;1;1;lll;-66456809002.323;1.0;0.0;1.0;1.0;0.0;3.0
tc100;606;7.142857142857142;0.0714285714285714;264.55026455026456;0.8771929824561403;0.0658732549240259;0.0023142857142857;0.14;0.027;0.01;1.234;0.07;459333960.652;1122696530915.641;0.0004091345684281;1;1;lll;-131556776632.08508;1.0;0.0;1.0;1.0;0.0;3.0
tc100;607;16.666666666666668;1.0;1075.268817204301;0.9433962264150942;0.1867484939698309;0.0186;0.06;0.0155;0.06;1.019;0.145;179853699.295;259857111590.686;0.0006921253691848;1;1;hlh;731282642692.87;;;;;;
tc100;608;10.0;0.4;176.99115044247787;0.9090909090909091;0.2254994456755936;0.02712;0.1;0.0565;0.04;1.076;0.156;165426435.031;260504262593.654;0.0006350239085685;1;1;lll;730635491689.9021;0.0;1.0;1.0;0.0;0.0;2.0
tc100;609;3.333333333333333;0.2;130.71895424836603;0.7692307692307692;0.1071214264281427;0.00612;0.3;0.0255;0.06;1.0;0.163;182968744.03;1130099747045.629;0.0001619049508756;1;7;lll;-138959992762.07288;0.0;0.0;0.0;0.0;1.0;1.0
tc100;60;7.142857142857142;0.25;291.5451895043731;0.8771929824561403;0.1173935688187389;0.0073499999999999;0.14;0.0245;0.035;01.Mai;0.101;262564099.546;721212139951.57;0.0003640594562976;1;1;lll;269927614331.98608;1.0;1.0;1.0;0.0;1.0;4.0
tc100;610;4.3478260869565215;0.2608695652173913;144.92753623188406;0.8130081300813008;0.1326977605394074;0.009391304347826;0.23;0.03;0.06;1.003;0.16;176614100.067;791672004451.893;0.0002230899906448;1;3;lll;199467749831.6631;0.0;1.0;1.0;0.0;1.0;3.0
tc100;611;7.692307692307692;0.2692307692307692;7692.3076923076915;0.8849557522123894;0.024612379624271;0.0003230769230769;0.13;0.001;0.035;0.995;0.107;5316940644.545;155075604644869.4;3.42861190625118e-05;45;45;lhl;-154084464890585.84;;;;;;
tc100;612;8.333333333333334;0.0;505.0505050505051;div0;0.0003230769230769;0.0003230769230769;0.12;0.0165;0.0;1.505;0.056;1014543212.249;2635073627711.133;0.0003850151288297;1;1;lll;-1643933873427.5767;1.0;0.0;1.0;1.0;0.0;3.0
tc100;613;8.333333333333334;0.2083333333333333;287.35632183908046;0.8928571428571428;0.1165922381636102;0.0072499999999999;0.12;0.029;0.025;1.119;0.094;290256674.739;609776978036.769;0.0004760046462782;1;1;lll;381362776246.787;1.0;1.0;1.0;0.0;0.0;3.0
tc100;614;3.333333333333333;0.1166666666666666;416.6666666666667;0.7692307692307692;0.0458257569495584;0.00112;0.3;0.008;0.035;1.0;0.107;313732769.67;2618903039356.205;0.0001197954887811;3;23;lll;-1627763285072.649;1.0;0.0;0.0;1.0;1.0;3.0
tc100;615;11.11111111111111;0.2777777777777778;505.0505050505051;0.9174311926605504;0.1172603939955857;0.0073333333333333;0.09;0.022;0.025;1.152;0.093;308033196.938;522783908742.262;0.0005892170584956;1;1;ell;468355845541.294;;;;;;
tc100;616;6.666666666666667;0.2666666666666666;66.66666666666667;0.8695652173913044;0.2449489742783178;0.032;0.15;0.1;0.04;1.039;0.176;153943680.096;411465543670.836;0.0003741350459691;1;1;lll;579674210612.72;0.0;1.0;1.0;0.0;1.0;3.0
tc100;617;7.142857142857142;0.0;107.41138560687432;div0;0.032;0.032;0.14;0.0665;0.0;1.183;0.087;332007256.121;721026848874.432;0.0004604644842827;1;1;lll;270112905409.12402;1.0;1.0;1.0;1.0;0.0;4.0
tc100;618;3.333333333333333;0.0;606.0606060606061;div0;0.032;0.032;0.3;0.0055;0.0;1.491;0.051;12472521696.633;138383499096985.16;9.01301222907488e-05;1;1;lll;-137392359342701.6;1.0;0.0;1.0;1.0;0.0;3.0
tc100;619;10.0;0.4;588.2352941176471;0.9090909090909091;0.1236931687685298;0.0081599999999999;0.1;0.017;0.04;1.037;0.103;255441759.847;587229815623.995;0.0004349945337424;1;1;lll;403909938659.56104;1.0;1.0;1.0;0.0;1.0;4.0
tc100;61;7.692307692307692;0.3076923076923076;252.2068095838588;0.8849557522123894;0.1453113368439799;0.0112615384615384;0.13;0.0305;0.04;01.Mai;0.118;221383464.96;523225075947.155;0.0004231132549586;1;1;lll;467914678336.401;1.0;1.0;1.0;0.0;1.0;4.0
tc100;620;4.545454545454546;0.0454545454545454;649.3506493506494;0.819672131147541;0.0267564775504753;0.0003818181818181;0.22;0.007;0.01;1.167;0.052;742589886.212;5011021788648.605;0.0001481913105814;1;1;lll;-4019882034365.0493;1.0;0.0;1.0;1.0;0.0;3.0
tc100;621;4.3478260869565215;0.108695652173913;621.1180124223602;0.8130081300813008;0.0413757963275527;0.0009130434782608;0.23;0.007;0.025;1.0;0.085;410424709.473;2767850808519.12;0.0001482828150309;1;13;lll;-1776711054235.564;1.0;0.0;0.0;1.0;1.0;3.0
tc100;622;4.545454545454546;0.25;83.40283569641369;0.819672131147541;0.1750892629489312;0.0163499999999999;0.22;0.0545;0.055;01.Feb;0.165;166587449.298;688119355180.669;0.000242090922227;1;3;lll;303020399102.8871;0.0;1.0;1.0;0.0;1.0;3.0
tc100;623;16.666666666666668;0.5833333333333335;1010.1010101010102;0.9433962264150942;0.1471606265276143;0.01155;0.06;0.0165;0.035;1.121;0.107;261624200.74;347163183257.56;0.000753605835403;1;1;hlh;643976571025.9961;;;;;;
tc100;624;20.0;0.7000000000000001;1111.111111111111;0.9523809523809523;0.1683745824048273;0.01512;0.05;0.018;0.035;1.149;0.117;243377756.629;249834521939.03;0.0009741558321887;1;1;hlh;741305232344.526;;;;;;
tc100;625;4.545454545454546;0.2727272727272727;189.3939393939394;0.819672131147541;0.1213559752433835;0.0078545454545454;0.22;0.024;0.06;1.001;0.158;183374046.009;823345276631.078;0.0002227182826132;1;3;lll;167794477652.47803;0.0;1.0;1.0;0.0;1.0;3.0
tc100;626;11.11111111111111;0.611111111111111;472.8132387706856;0.9174311926605504;0.1797567801224754;0.0172333333333333;0.09;0.0235;0.055;1.028;0.142;181636657.018;319242022629.332;0.0005689622422574;1;1;elh;671897731654.2241;;;;;;
tc100;627;20.0;01.Jän;2222.222222222222;0.9523809523809523;0.149248115565993;0.01188;0.05;0.009;0.055;1.006;0.127;215961818.239;404837485083.672;0.0005334531168583;1;1;hhh;586302269199.884;;;;;;
tc100;628;11.11111111111111;0.3888888888888889;11111.111111111111;0.9174311926605504;0.029580398915498;0.0004666666666666;0.09;0.001;0.035;1.008;0.107;5117690382.131;147551157853801.78;3.468417636682841e-05;19;19;ehl;-146560018099518.22;;;;;;
tc100;629;7.142857142857142;0.0357142857142857;115.2073732718894;0.8771929824561403;0.070584296108574;0.0026571428571428;0.14;0.062;0.005;1.165;0.091;310735205.619;679755498147.833;0.0004571279032912;1;1;lll;311384256135.723;1.0;1.0;1.0;1.0;0.0;4.0
tc100;62;Jun.25;0.5;100.80645161290325;0.8620689655172414;0.2641022529248851;0.0372;0.16;0.062;0.08;1.015;0.225;120126812.068;378956544203.617;0.000316993633981;1;3;lll;612183210079.939;0.0;1.0;1.0;0.0;1.0;3.0
tc100;630;16.666666666666668;0.6666666666666667;546.448087431694;0.9433962264150942;0.2138924963620743;0.0243999999999999;0.06;0.0305;0.04;1.119;0.142;186811411.726;178785305124.003;0.0010448924289187;1;1;hlh;812354449159.553;;;;;;
tc100;631;8.333333333333334;0.3333333333333333;1111.1111111111113;0.8928571428571428;0.075;0.003;0.12;0.0075;0.04;1.0;0.105;317343224.217;1670763817396.429;0.0001899390092799;1;7;lll;-679624063112.8729;1.0;0.0;0.0;1.0;1.0;3.0
tc100;632;Jun.25;0.375;211.86440677966104;0.8620689655172414;0.1577676297597197;0.013275;0.16;0.0295;0.06;01.Jän;0.156;173686246.408;555743666788.443;0.0003125294210039;1;3;lll;435396087495.11304;0.0;1.0;1.0;0.0;1.0;3.0
tc100;633;8.333333333333334;0.3333333333333333;833.3333333333334;0.8928571428571428;0.0866025403784438;0.0039999999999999;0.12;0.01;0.04;1.002;0.099;300996186.628;1259551226951.978;0.0002389709764773;1;1;lll;-268411472668.422;1.0;0.0;1.0;1.0;1.0;4.0
tc100;634;14.285714285714285;0.3571428571428571;921.6589861751152;0.9345794392523364;0.1116035713714267;0.0066428571428571;0.07;0.0155;0.025;1.178;0.088;343812370.354;552588952897.596;0.0006221846610417;1;1;hll;438550801385.9601;;;;;;
tc100;635;Jun.25;0.03125;75.75757575757575;0.8620689655172414;0.0761628600434621;0.00309375;0.16;0.0825;0.005;1.111;0.095;287267343.546;765295660173.266;0.0003753677937765;1;1;lll;225844094110.29004;1.0;1.0;1.0;1.0;0.0;4.0
tc100;636;10.0;0.25;377.35849056603774;0.9090909090909091;0.1220911544707478;0.0079499999999999;0.1;0.0265;0.025;1.141;0.097;289348376.354;507975607317.392;0.0005696107690722;1;1;lll;483164146966.164;1.0;1.0;1.0;0.0;0.0;3.0
tc100;637;4.545454545454546;0.2727272727272727;131.75230566534916;0.819672131147541;0.1455007029036442;0.011290909090909;0.22;0.0345;0.06;1.007;0.162;172007086.599;733009763243.673;0.0002346586569841;1;3;lll;258129991039.88306;0.0;1.0;1.0;0.0;1.0;3.0
tc100;638;20.0;0.5;20000.0;0.9523809523809523;0.0335410196624968;0.0006;0.05;0.001;0.025;1.087;0.054;4330927508.996;106226314346590.78;4.077075944539722e-05;33;33;hhl;-105235174592307.22;;;;;;
tc100;639;7.692307692307692;0.1923076923076923;732.6007326007325;0.8849557522123894;0.0674037775704688;0.0024230769230769;0.13;0.0105;0.025;1.041;0.065;428367897.514;1716991902687.884;0.0002494874302222;1;1;lll;-725852148404.328;1.0;0.0;1.0;1.0;1.0;4.0
tc100;63;11.11111111111111;0.611111111111111;1587.3015873015872;0.9174311926605504;0.0981070843517429;0.0051333333333333;0.09;0.007;0.055;1.0;0.14;239236496.587;1079683682040.284;0.0002215801725695;7;35;ehh;-88543927756.72803;;;;;;
tc100;640;4.545454545454546;0.0454545454545454;606.0606060606061;0.819672131147541;0.0276955854703498;0.0004090909090909;0.22;0.0075;0.01;1.165;0.053;723599953.793;4561565435359.109;0.000158629743242;1;1;lll;-3570425681075.553;1.0;0.0;1.0;1.0;0.0;3.0
tc100;641;20.0;0.1;666.6666666666667;0.9523809523809523;0.0821583836257749;0.0036;0.05;0.03;0.005;Jän.36;0.116;324311379.186;232871759759.374;0.001392660834105;1;1;hll;758267994524.182;;;;;;
tc100;642;6.666666666666667;0.4;202.020202020202;0.8695652173913044;0.1723368793961409;0.01584;0.15;0.033;0.06;1.016;0.159;168077497.806;482922243507.569;0.0003480425680648;1;3;lll;508217510775.98706;0.0;1.0;1.0;0.0;1.0;3.0
tc100;643;14.285714285714285;0.5714285714285714;1098.901098901099;0.9345794392523364;0.1292837411057001;0.0089142857142857;0.07;0.013;0.04;1.049;0.101;264588480.044;500789180826.692;0.000528343043688;1;1;hlh;490350573456.864;;;;;;
tc100;644;10.0;0.55;166.66666666666669;0.9090909090909091;0.2724885318687742;0.0395999999999999;0.1;0.06;0.055;01.Mai;0.186;137905795.929;223312133520.977;0.0006175472588731;1;3;lll;767827620762.5791;0.0;1.0;1.0;0.0;1.0;3.0
