tc;test #;kp;kd;ki;ess_step;IAE;ITAE;Kr;Tn;Tv;PR;RT;P-Eng;S-Eng;Eng-rel;osc_p;osc_s;parameter_code;eng-diff;mr_lll_RT;mr_lll_EngS;mr_lll_osc;mr_IAE;mr_PR;total_one
tc100;118;10.0;0.35;1333.3333333333337;0.9090909090909091;0.0768521307446969;0.00315;0.1;0.0075;0.035;1.002;0.083;359736902.464;1612377419800.52;0.0002231096131999;1;1;lll;-621237665516.964;1.0;0.0;1.0;1.0;1.0;4.0
tc100;119;8.333333333333334;0.5;520.8333333333334;0.8928571428571428;0.1341640786499874;0.0096;0.12;0.016;0.06;1.001;0.149;191346789.11;577497984428.998;0.0003313375877825;1;1;lll;413641769854.558;0.0;1.0;1.0;0.0;1.0;3.0
tc100;11;16.666666666666668;0.4166666666666667;952.3809523809524;0.9433962264150942;0.128086884574495;0.00875;0.06;0.0175;0.025;1.203;0.098;313793650.692;391946130328.618;0.0008006040279793;1;1;hll;599193623954.938;;;;;;
tc100;120;8.333333333333334;0.6666666666666667;138.8888888888889;0.8928571428571428;0.3;0.048;0.12;0.06;0.08;1.021;0.229;114837281.0;243966330920.682;0.0004707095465453;1;3;llh;747173423362.874;;;;;;
tc100;121;14.285714285714285;0.1428571428571428;1587.3015873015872;0.9345794392523364;0.0537852874200477;0.0015428571428571;0.07;0.009;0.01;1.391;0.062;780592476.633;1980728064108.895;0.0003940937126996;1;1;hhl;-989588309825.339;;;;;;
tc100;122;20.0;01.Jun;833.3333333333334;0.9523809523809523;0.2939387691339813;0.0460799999999999;0.05;0.024;0.08;1.024;0.202;125686780.234;116888390483.633;0.0010752717161555;1;1;hlh;874251363799.9231;;;;;;
tc100;123;20.0;0.2;677.9661016949153;0.9523809523809523;0.1152171862180291;0.00708;0.05;0.0295;0.01;1.319;0.119;294778223.614;216252485783.254;0.0013631206251633;1;1;hll;774887268500.302;;;;;;
tc100;124;14.285714285714285;0.5;272.10884353741494;0.9345794392523364;0.2430277761902947;0.0314999999999999;0.07;0.0525;0.035;1.115;0.162;160718211.057;162905522003.702;0.0009865731319614;1;3;hll;828234232279.854;;;;;;
tc100;125;4.3478260869565215;0.0217391304347826;193.23671497584544;0.8130081300813008;0.0331744401348518;0.0005869565217391;0.23;0.0225;0.005;1.205;0.059;560930453.546;1864474806485.569;0.0003008517205997;1;1;lll;-873335052202.0131;1.0;0.0;1.0;1.0;0.0;3.0
tc100;126;11.11111111111111;0.611111111111111;740.7407407407408;0.9174311926605504;0.1436140661634507;0.011;0.09;0.015;0.055;1.007;0.134;203368972.804;464830161250.932;0.0004375124287475;1;1;elh;526309593032.624;;;;;;
tc100;127;7.692307692307692;0.423076923076923;466.2004662004661;0.8849557522123894;0.1253264966766037;0.008376923076923;0.13;0.0165;0.055;1.002;0.138;205963534.9;660915389136.611;0.0003116337405444;1;1;lll;330224365146.94507;0.0;1.0;1.0;0.0;1.0;3.0
tc100;128;4.545454545454546;0.1818181818181818;303.03030303030306;0.819672131147541;0.078334945180064;0.0032727272727272;0.22;0.015;0.04;1.001;0.109;276702406.676;1500896835143.194;0.000184358045268;1;1;lll;-509757080859.63806;1.0;0.0;1.0;1.0;1.0;4.0
tc100;129;Jun.25;0.0;657.8947368421053;div0;0.0032727272727272;0.0032727272727272;0.16;0.0095;0.0;1.507;0.052;1748204772.93;8275398599058.273;0.000211253240796;1;1;lll;-7284258844774.718;1.0;0.0;1.0;1.0;0.0;3.0
tc100;12;3.333333333333333;0.2666666666666666;125.7861635220126;0.7692307692307692;0.1260952021291849;0.00848;0.3;0.0265;0.08;1.0;0.21;152185292.275;1946210010811.346;7.819571959326024e-05;11;85;lll;-955070256527.7899;0.0;0.0;0.0;0.0;1.0;1.0
tc100;130;14.285714285714285;0.5714285714285714;649.3506493506493;0.9345794392523364;0.1681835731744164;0.0150857142857142;0.07;0.022;0.04;1.092;0.12;221062046.589;292942000227.06;0.0007546273542805;1;1;hlh;698197754056.4961;;;;;;
