,test #,Kr,Tn,Tv,PR,RT,P-Eng,S-Eng,pressure_max_peak_idx,norm_RT,PR_apr_a,norm_transformed_PR,norm_Eng_p,norm_Eng_s,RT_min,RT_apr_a,norm_RT_ref,PR_apr_b,norm_Eng_combined,R1,R2,R3,kp,ki,kd,ess_step,IAE,ITAE,Warning,mr_rt_vs_pr_f,mr_rt_vs_pr_l,mr_eng_p,mr_kp_rt,mr_kpki,mr_kp_ess,mr_Tn_ess,mr_kd_ki,mr_kp_kd,total_1,total_0,total_na
tc100_def_91,91.0,0.05,0.0165,0.06,1.034,0.149,0.679,0.197,0,0.7905982906,0.97688,0.959,0.9300821535,0.9822507553,0.051,0.5050505051,-0.183,0.97688,0.9561664544,110.0,211.0,398.0,20.0,1212.121,1.2,0.952,0.211,0.024,,n/a,1,1,0,n/a,1,n/a,n/a,n/a,3,1,5
tc100_def_534,534.0,0.09,0.0125,0.06,1.001,0.147,0.773,0.523,0,0.7948717949,0.99998,0.999,0.9136514595,0.9412134945,0.051,0.5102040816,-0.167,0.99998,0.927432477,115.0,212.0,389.0,11.111,888.88,0.667,0.917,0.137,0.01,,n/a,1,n/a,0,n/a,1,n/a,n/a,n/a,2,1,6
tc100_def_653,653.0,0.22,0.067,0.01,1.086,0.085,1.28,1.22,0,0.9273504274,0.85208,0.896,0.8250305891,0.8534743202,0.051,0.7462686567,0.675,0.8703525301,0.8392524546,417.0,213.0,204.0,4.545,67.836,0.045,0.82,0.083,0.004,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_314,314.0,0.1,0.0145,0.06,1.002,0.148,0.756,0.513,0,0.7927350427,0.99992,0.998,0.916622968,0.9424723061,0.051,0.5076142132,-0.175,0.99992,0.9295476371,116.0,214.0,393.0,10.0,689.655,0.6,0.909,0.14,0.01,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_313,313.0,0.15,0.016,0.055,1.001,0.139,0.824,0.808,0,0.811965812,0.99998,0.999,0.9047369341,0.9053373615,0.051,0.5319148936,-0.103,0.99998,0.9050371478,134.0,215.0,355.0,6.667,416.688,0.367,0.87,0.115,0.007,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_792,792.0,0.12,0.022,0.06,1.008,0.151,0.705,0.459,0,0.7863247863,0.99872,0.99,0.9255374934,0.9492698892,0.051,0.5,-0.198,0.99872,0.9374036913,113.0,216.0,407.0,8.333,378.773,0.5,0.893,0.157,0.013,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_701,701.0,0.07,0.0025,0.025,1.036,0.055,2.308,5.177,1,0.9914529915,0.97408,0.957,0.6453417235,0.3553625378,0.051,0.9615384615,0.437,0.97408,0.5003521306,580.0,217.0,299.0,14.286,5714.4,0.357,0.935,0.045,0.001,,1,n/a,0,1,n/a,1,n/a,n/a,1,4,1,4
tc100_def_893,893.0,0.22,0.053,0.04,1.032,0.133,0.805,0.806,0,0.8247863248,0.97952,0.961,0.9080580318,0.9055891239,0.051,0.5494505495,-0.056,0.97952,0.9068235778,157.0,218.0,330.0,4.545,85.755,0.182,0.82,0.147,0.012,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_441,441.0,0.1,0.0245,0.06,1.019,0.153,0.672,0.339,0,0.7820512821,0.99278,0.977,0.9313057158,0.9643756294,0.051,0.495049505,-0.214,0.99278,0.9478406726,112.0,219.0,419.0,10.0,408.163,0.6,0.909,0.182,0.018,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_40,40.0,0.12,0.0345,0.04,1.06,0.124,0.822,0.439,0,0.844017094,0.928,0.928,0.9050865233,0.9517875126,0.051,0.5780346821,0.984,0.9287016636,0.928437018,197.0,220.0,5.0,8.333,241.536,0.333,0.893,0.161,0.014,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_491,491.0,0.22,0.066,0.01,1.087,0.085,1.288,1.225,0,0.9273504274,0.84862,0.895,0.8236322321,0.8528449144,0.051,0.7462686567,0.675,0.8679452833,0.8382385733,426.0,221.0,207.0,4.545,68.864,0.045,0.82,0.082,0.004,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_685,685.0,0.1,0.025,0.06,1.02,0.154,0.669,0.334,0,0.7799145299,0.992,0.976,0.9318300996,0.9650050352,0.051,0.4926108374,-0.222,0.992,0.9484175674,121.0,222.0,427.0,10.0,400.0,0.6,0.909,0.184,0.018,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_699,699.0,0.22,0.065,0.035,1.037,0.131,0.819,0.818,0,0.8290598291,0.97262,0.955,0.9056109072,0.9040785498,0.051,0.5555555556,-0.04,0.97262,0.9048447285,172.0,223.0,324.0,4.545,69.923,0.159,0.82,0.153,0.012,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_700,700.0,0.13,0.0195,0.06,1.003,0.15,0.728,0.551,0,0.7884615385,0.99982,0.996,0.9215172173,0.9376888218,0.051,0.5025125628,-0.19,0.99982,0.9296030195,130.0,224.0,404.0,7.692,394.462,0.462,0.885,0.142,0.011,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_445,445.0,0.07,0.0175,0.04,1.076,0.111,0.944,0.369,0,0.8717948718,0.88448,0.908,0.8837615801,0.9605991944,0.051,0.625,0.881,0.8937972603,0.9221803873,269.0,225.0,70.0,14.286,816.343,0.571,0.935,0.15,0.012,,0,n/a,1,1,n/a,1,n/a,n/a,n/a,3,1,5
tc100_def_155,155.0,0.13,0.0125,0.055,1.0,0.139,0.856,0.849,0,0.811965812,1.0,1.0,0.8991435064,0.9001762336,0.051,0.5319148936,-0.103,1.0,0.89965987,153.0,226.0,361.0,7.692,615.36,0.423,0.885,0.109,0.006,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_482,482.0,0.12,0.026,0.06,1.015,0.154,0.679,0.412,0,0.7799145299,0.9955,0.982,0.9300821535,0.9551863041,0.051,0.4926108374,-0.222,0.9955,0.9426342288,128.0,227.0,430.0,8.333,320.5,0.5,0.893,0.171,0.016,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_119,119.0,0.12,0.016,0.06,1.001,0.149,0.752,0.583,0,0.7905982906,0.99998,0.999,0.9173221465,0.9336606244,0.051,0.5050505051,-0.183,0.99998,0.9254913854,137.0,228.0,401.0,8.333,520.812,0.5,0.893,0.134,0.01,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_72,72.0,0.14,0.0345,0.055,1.024,0.15,0.689,0.457,0,0.7884615385,0.98848,0.971,0.9283342073,0.9495216516,0.051,0.5025125628,-0.19,0.98848,0.9389279294,138.0,229.0,409.0,7.143,207.043,0.393,0.877,0.175,0.016,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_727,727.0,0.09,0.0245,0.04,1.071,0.117,0.876,0.376,0,0.858974359,0.89918,0.914,0.8956476141,0.9597180262,0.051,0.6024096386,0.929,0.9050664737,0.9276828201,247.0,230.0,26.0,11.111,453.51,0.444,0.917,0.157,0.013,,0,n/a,n/a,1,n/a,1,n/a,n/a,n/a,2,1,6
tc100_def_663,663.0,0.05,0.0175,0.06,1.038,0.151,0.668,0.186,0,0.7863247863,0.97112,0.954,0.9320048942,0.9836354481,0.051,0.5,-0.198,0.97112,0.9578201712,140.0,231.0,413.0,20.0,1142.857,1.2,0.952,0.217,0.025,,n/a,1,1,0,n/a,1,n/a,n/a,n/a,3,1,5
tc100_def_144,144.0,0.13,0.039,0.04,1.057,0.128,0.802,0.459,0,0.8354700855,0.93502,0.931,0.9085824157,0.9492698892,0.051,0.5649717514,-0.016,0.9348556456,0.9289261524,202.0,232.0,316.0,7.692,197.231,0.308,0.885,0.164,0.014,,n/a,0,n/a,0,n/a,0,n/a,n/a,n/a,0,3,6
tc100_def_806,806.0,0.23,0.0665,0.005,1.096,0.076,1.444,1.409,0,0.9465811966,0.81568,0.884,0.796364272,0.8296827795,0.051,0.8,0.603,0.8458048386,0.8130235257,502.0,233.0,236.0,4.348,65.383,0.022,0.813,0.057,0.002,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_405,405.0,0.13,0.0175,0.06,1.001,0.15,0.744,0.597,0,0.7884615385,0.99998,0.999,0.9187205034,0.931898288,0.051,0.5025125628,-0.19,0.99998,0.9253093957,147.0,234.0,411.0,7.692,439.543,0.462,0.885,0.135,0.01,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_587,587.0,0.1,0.0315,0.055,1.035,0.151,0.668,0.304,0,0.7863247863,0.9755,0.958,0.9320048942,0.9687814703,0.051,0.5,-0.198,0.9755,0.9503931823,152.0,235.0,417.0,10.0,317.46,0.55,0.909,0.197,0.021,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_988,988.0,0.14,0.0055,0.035,1.0,0.1,1.391,2.415,0,0.8952991453,1.0,1.0,0.8056283866,0.7030463243,0.051,0.6711409396,0.794,1.0,0.7543373555,335.0,236.0,137.0,7.143,1298.727,0.25,0.877,0.056,0.002,,1,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,2,0,7
tc100_def_194,194.0,0.16,0.0335,0.025,1.089,0.092,1.152,0.837,0,0.9123931624,0.84158,0.893,0.8474042999,0.9016868077,0.051,0.7092198582,0.73,0.8630982056,0.8745455538,395.0,237.0,174.0,6.25,186.567,0.156,0.862,0.109,0.006,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_149,149.0,0.13,0.029,0.06,1.016,0.156,0.668,0.43,0,0.7756410256,0.99488,0.981,0.9320048942,0.9529204431,0.051,0.487804878,-0.238,0.99488,0.9424626687,150.0,238.0,442.0,7.692,265.241,0.462,0.885,0.174,0.016,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_311,311.0,0.09,0.027,0.06,1.027,0.157,0.646,0.277,0,0.7735042735,0.98542,0.967,0.9358503758,0.9721802618,0.051,0.4854368932,-0.246,0.98542,0.9540153188,151.0,239.0,448.0,11.111,411.519,0.667,0.917,0.201,0.022,,n/a,1,n/a,0,n/a,1,n/a,n/a,n/a,2,1,6
tc100_def_204,204.0,0.22,0.06,0.04,1.032,0.138,0.779,0.783,0,0.8141025641,0.97952,0.961,0.9126026918,0.9084843907,0.051,0.5347593583,-0.095,0.97952,0.9105435413,179.0,240.0,363.0,4.545,75.75,0.182,0.82,0.157,0.013,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_437,437.0,0.15,0.037,0.055,1.023,0.152,0.684,0.486,0,0.7841880342,0.98942,0.972,0.9292081804,0.9458710977,0.051,0.4975124378,-0.206,0.98942,0.937539639,156.0,241.0,422.0,6.667,180.189,0.367,0.87,0.175,0.016,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_205,205.0,0.16,0.033,0.025,1.089,0.092,1.159,0.845,0,0.9123931624,0.84158,0.893,0.8461807376,0.9006797583,0.051,0.7092198582,0.73,0.8630982056,0.873430248,400.0,242.0,175.0,6.25,189.394,0.156,0.862,0.108,0.006,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_545,545.0,0.15,0.0265,0.06,1.009,0.154,0.694,0.544,0,0.7799145299,0.99838,0.989,0.9274602342,0.9385699899,0.051,0.4926108374,-0.222,0.99838,0.9330151121,154.0,243.0,436.0,6.667,251.585,0.4,0.87,0.154,0.013,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_410,410.0,0.16,0.053,0.035,1.057,0.127,0.816,0.576,0,0.8376068376,0.93502,0.931,0.906135291,0.9345417925,0.051,0.5681818182,-0.008,0.9348556456,0.9203385418,219.0,244.0,318.0,6.25,117.925,0.219,0.862,0.162,0.014,,n/a,0,n/a,0,n/a,0,n/a,n/a,n/a,0,3,6
tc100_def_387,387.0,0.15,0.048,0.035,1.062,0.124,0.831,0.545,0,0.844017094,0.92312,0.925,0.9035133718,0.9384441088,0.051,0.5780346821,0.984,0.9245277306,0.9209787403,241.0,245.0,7.0,6.667,138.896,0.233,0.87,0.159,0.013,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_355,355.0,0.15,0.0205,0.06,1.002,0.152,0.73,0.634,0,0.7841880342,0.99992,0.998,0.921167628,0.9272406848,0.051,0.4975124378,-0.206,0.99992,0.9242041564,163.0,246.0,428.0,6.667,325.22,0.4,0.87,0.136,0.01,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_575,575.0,0.06,0.0215,0.06,1.038,0.155,0.647,0.195,0,0.7777777778,0.97112,0.954,0.9356755812,0.9825025176,0.051,0.4901960784,-0.23,0.97112,0.9590890494,166.0,247.0,441.0,16.667,775.209,1.0,0.943,0.22,0.026,,n/a,1,1,0,n/a,1,n/a,n/a,n/a,3,1,5
tc100_def_453,453.0,0.14,0.024,0.025,1.098,0.084,1.28,0.885,0,0.9294871795,0.80792,0.882,0.8250305891,0.8956445116,0.051,0.7518796992,0.667,0.8407742731,0.8603375503,465.0,248.0,211.0,7.143,297.625,0.179,0.877,0.098,0.005,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_731,731.0,0.07,0.018,0.04,1.079,0.112,0.935,0.358,0,0.8696581197,0.87518,0.905,0.8853347317,0.9619838872,0.051,0.6211180124,0.889,0.8868872246,0.9236593095,286.0,249.0,68.0,14.286,793.667,0.571,0.935,0.152,0.012,,0,n/a,1,1,n/a,1,n/a,n/a,n/a,3,1,5
tc100_def_67,67.0,0.12,0.0315,0.06,1.021,0.159,0.648,0.37,0,0.7692307692,0.99118,0.975,0.9355007866,0.9604733132,0.051,0.4807692308,-0.262,0.99118,0.9479870499,162.0,250.0,459.0,8.333,264.54,0.5,0.893,0.188,0.019,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_193,193.0,0.1,0.029,0.04,1.069,0.122,0.842,0.381,0,0.8482905983,0.90478,0.917,0.901590631,0.9590886203,0.051,0.5847953216,0.968,0.9094846562,0.9303396257,256.0,251.0,14.0,10.0,344.828,0.4,0.909,0.162,0.014,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_768,768.0,0.05,0.0035,0.025,1.097,0.057,2.241,2.664,0,0.9871794872,0.81182,0.883,0.6570529628,0.6717019134,0.051,0.9433962264,0.452,0.8432943601,0.6643774381,585.0,252.0,295.0,20.0,5714.286,0.5,0.952,0.063,0.002,,0,n/a,0,1,n/a,1,n/a,n/a,1,3,2,4
tc100_def_926,926.0,0.22,0.025,0.055,1.003,0.146,0.767,0.864,0,0.797008547,0.99982,0.996,0.9147002272,0.8982880161,0.051,0.5128205128,-0.159,0.99982,0.9064941217,188.0,253.0,399.0,4.545,181.8,0.25,0.82,0.119,0.008,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_95,95.0,0.15,0.0305,0.06,1.014,0.157,0.673,0.506,0,0.7735042735,0.99608,0.983,0.9311309212,0.9433534743,0.051,0.4854368932,-0.246,0.99608,0.9372421977,169.0,254.0,452.0,6.667,218.59,0.4,0.87,0.166,0.015,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_632,632.0,0.16,0.0295,0.06,1.01,0.156,0.683,0.561,0,0.7756410256,0.998,0.988,0.929382975,0.9364300101,0.051,0.487804878,-0.238,0.998,0.9329064925,171.0,255.0,449.0,6.25,211.864,0.375,0.862,0.158,0.013,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_669,669.0,0.22,0.0265,0.055,1.004,0.147,0.759,0.843,0,0.7948717949,0.99968,0.995,0.9160985842,0.9009315206,0.051,0.5102040816,-0.167,0.99968,0.9085150524,190.0,256.0,402.0,4.545,171.509,0.25,0.82,0.122,0.008,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_372,372.0,0.3,0.066,0.035,1.022,0.136,0.829,1.1,0,0.8183760684,0.99032,0.973,0.903862961,0.8685800604,0.051,0.5405405405,-0.079,0.99032,0.8862215107,211.0,257.0,359.0,3.333,50.5,0.117,0.769,0.132,0.009,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_235,235.0,0.22,0.022,0.055,1.001,0.145,0.785,0.917,0,0.7991452991,0.99998,0.999,0.9115539241,0.8916163142,0.051,0.5154639175,-0.151,0.99998,0.9015851192,196.0,258.0,397.0,4.545,206.591,0.25,0.82,0.111,0.007,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_705,705.0,0.16,0.0565,0.035,1.057,0.13,0.798,0.563,0,0.8311965812,0.93502,0.931,0.9092815941,0.9361782477,0.051,0.5586592179,-0.032,0.9348556456,0.9227299209,239.0,259.0,333.0,6.25,110.619,0.219,0.862,0.167,0.015,,n/a,0,n/a,0,n/a,0,n/a,n/a,n/a,0,3,6
tc100_def_371,371.0,0.23,0.026,0.055,1.003,0.147,0.763,0.883,0,0.7948717949,0.99982,0.996,0.9153994057,0.8958962739,0.051,0.5102040816,-0.167,0.99982,0.9056478398,198.0,260.0,406.0,4.348,167.231,0.239,0.813,0.118,0.007,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_803,803.0,0.22,0.033,0.055,1.01,0.15,0.728,0.781,0,0.7884615385,0.998,0.988,0.9215172173,0.9087361531,0.051,0.5025125628,-0.19,0.998,0.9151266852,194.0,261.0,420.0,4.545,137.727,0.25,0.82,0.136,0.01,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_676,676.0,0.15,0.0295,0.025,1.095,0.089,1.194,0.831,0,0.9188034188,0.8195,0.885,0.8400629261,0.9024420947,0.051,0.7246376812,0.706,0.8483055781,0.8712525104,440.0,262.0,191.0,6.667,226.0,0.167,0.87,0.105,0.006,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_352,352.0,0.12,0.0335,0.06,1.023,0.161,0.638,0.358,0,0.764957265,0.98942,0.972,0.9372487327,0.9619838872,0.051,0.4761904762,-0.278,0.98942,0.94961631,181.0,263.0,473.0,8.333,248.746,0.5,0.893,0.194,0.02,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_380,380.0,0.23,0.0305,0.055,1.006,0.149,0.74,0.832,0,0.7905982906,0.99928,0.993,0.9194196819,0.9023162135,0.051,0.5050505051,-0.183,0.99928,0.9108679477,195.0,264.0,418.0,4.348,142.557,0.239,0.813,0.128,0.009,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_838,838.0,0.14,0.0335,0.06,1.018,0.16,0.652,0.441,0,0.7670940171,0.99352,0.978,0.9348016081,0.9515357503,0.051,0.4784688995,-0.27,0.99352,0.9431686792,184.0,265.0,466.0,7.143,213.224,0.429,0.877,0.18,0.017,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_642,642.0,0.15,0.033,0.06,1.016,0.159,0.661,0.487,0,0.7692307692,0.99488,0.981,0.9332284566,0.9457452165,0.051,0.4807692308,-0.262,0.99488,0.9394868365,186.0,266.0,462.0,6.667,202.03,0.4,0.87,0.172,0.016,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_58,58.0,0.16,0.018,0.06,1.0,0.152,0.751,0.741,0,0.7841880342,1.0,1.0,0.9174969411,0.9137713998,0.051,0.4975124378,-0.206,1.0,0.9156341704,200.0,267.0,435.0,6.25,347.222,0.375,0.862,0.123,0.008,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_997,997.0,0.15,0.0165,0.06,1.0,0.152,0.761,0.738,0,0.7841880342,1.0,1.0,0.9157489949,0.9141490433,0.051,0.4975124378,-0.206,1.0,0.9149490191,203.0,268.0,437.0,6.667,404.061,0.4,0.87,0.122,0.008,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_171,171.0,0.15,0.0545,0.04,1.051,0.139,0.741,0.489,0,0.811965812,0.94798,0.938,0.9192448873,0.9454934542,0.051,0.5319148936,-0.103,0.9467673928,0.9323691707,221.0,269.0,376.0,6.667,122.33,0.267,0.87,0.181,0.017,,n/a,0,n/a,0,n/a,0,n/a,n/a,n/a,0,3,6
tc100_def_73,73.0,0.15,0.053,0.04,1.052,0.138,0.748,0.494,0,0.8141025641,0.94592,0.937,0.9180213249,0.9448640483,0.051,0.5347593583,-0.095,0.9448195394,0.9314426866,227.0,270.0,372.0,6.667,125.792,0.267,0.87,0.178,0.017,,n/a,0,n/a,0,n/a,0,n/a,n/a,n/a,0,3,6
tc100_def_316,316.0,0.07,0.0255,0.055,1.048,0.15,0.67,0.218,0,0.7884615385,0.95392,0.942,0.931655305,0.9796072508,0.051,0.5025125628,-0.19,0.95392,0.9556312779,205.0,271.0,425.0,14.286,560.235,0.786,0.935,0.212,0.024,,n/a,1,1,0,n/a,1,n/a,n/a,n/a,3,1,5
tc100_def_511,511.0,0.16,0.06,0.035,1.056,0.133,0.782,0.552,0,0.8247863248,0.93728,0.932,0.912078308,0.9375629406,0.051,0.5494505495,-0.056,0.9368780013,0.9248206243,244.0,272.0,350.0,6.25,104.167,0.219,0.862,0.172,0.016,,n/a,0,n/a,0,n/a,0,n/a,n/a,n/a,0,3,6
tc100_def_558,558.0,0.12,0.039,0.055,1.034,0.157,0.649,0.349,0,0.7735042735,0.97688,0.959,0.935325992,0.9631168177,0.051,0.4854368932,-0.246,0.97688,0.9492214048,201.0,273.0,457.0,8.333,213.667,0.458,0.893,0.201,0.021,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_943,943.0,0.22,0.0825,0.035,1.033,0.143,0.766,0.782,0,0.8034188034,0.97822,0.96,0.9148750218,0.9086102719,0.051,0.5208333333,-0.135,0.97822,0.9117426469,217.0,274.0,391.0,4.545,55.091,0.159,0.82,0.172,0.016,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_493,493.0,0.14,0.042,0.055,1.029,0.158,0.654,0.419,0,0.7713675214,0.98318,0.965,0.9344520189,0.954305136,0.051,0.4830917874,-0.254,0.98318,0.9443785774,204.0,275.0,460.0,7.143,170.071,0.393,0.877,0.193,0.02,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_907,907.0,0.14,0.0255,0.025,1.099,0.086,1.249,0.843,0,0.9252136752,0.80398,0.88,0.8304492222,0.9009315206,0.051,0.7407407407,0.683,0.8382447084,0.8656903714,473.0,276.0,208.0,7.143,280.118,0.179,0.877,0.101,0.005,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_93,93.0,0.15,0.0315,0.025,1.095,0.091,1.163,0.795,0,0.9145299145,0.8195,0.885,0.8454815592,0.9069738167,0.051,0.7142857143,0.722,0.8483055781,0.8762276879,436.0,277.0,182.0,6.667,211.651,0.167,0.87,0.109,0.006,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_426,426.0,0.3,0.099,0.025,1.016,0.137,0.868,1.187,0,0.8162393162,0.99488,0.981,0.897045971,0.8576283988,0.051,0.5376344086,-0.087,0.99488,0.8773371849,240.0,278.0,369.0,3.333,33.667,0.083,0.769,0.136,0.01,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_139,139.0,0.23,0.0525,0.01,1.099,0.078,1.417,1.374,0,0.9423076923,0.80398,0.88,0.8010837266,0.8340886203,0.051,0.7874015748,0.619,0.8382447084,0.8175861735,513.0,279.0,235.0,4.348,82.819,0.043,0.813,0.072,0.003,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_103,103.0,0.13,0.037,0.06,1.023,0.164,0.629,0.381,0,0.7585470085,0.98942,0.972,0.9388218843,0.9590886203,0.051,0.4694835681,-0.302,0.98942,0.9489552523,208.0,280.0,490.0,7.692,207.892,0.462,0.885,0.196,0.02,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_274,274.0,0.23,0.02,0.055,1.0,0.146,0.8,1.007,0,0.797008547,1.0,1.0,0.9089320049,0.8802870091,0.051,0.5128205128,-0.159,1.0,0.894609507,224.0,281.0,410.0,4.348,217.4,0.239,0.813,0.104,0.006,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_525,525.0,0.16,0.046,0.055,1.026,0.159,0.654,0.488,0,0.7692307692,0.98648,0.969,0.9344520189,0.9456193353,0.051,0.4807692308,-0.262,0.98648,0.9400356771,210.0,282.0,468.0,6.25,135.87,0.344,0.862,0.189,0.019,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_26,26.0,0.23,0.073,0.04,1.029,0.147,0.742,0.785,0,0.7948717949,0.98318,0.965,0.9190700926,0.9082326284,0.051,0.5102040816,-0.167,0.98318,0.9136513605,223.0,283.0,414.0,4.348,59.562,0.174,0.813,0.169,0.015,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_583,583.0,0.1,0.0095,0.06,1.0,0.151,0.821,0.783,8,0.7863247863,1.0,1.0,0.905261318,0.9084843907,0.051,0.5,-0.198,1.0,0.9068728543,218.0,284.0,438.0,10.0,1052.632,0.6,0.909,0.113,0.007,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_333,333.0,0.14,0.0525,0.04,1.055,0.139,0.737,0.448,0,0.811965812,0.9395,0.934,0.9199440657,0.9506545821,0.051,0.5319148936,-0.103,0.9388856812,0.9352993239,245.0,285.0,384.0,7.143,136.057,0.286,0.877,0.184,0.018,,n/a,0,n/a,0,n/a,0,n/a,n/a,n/a,0,3,6
tc100_def_466,466.0,0.3,0.062,0.04,1.02,0.143,0.782,1.044,0,0.8034188034,0.992,0.976,0.912078308,0.8756294058,0.051,0.5208333333,-0.135,0.992,0.8938538569,238.0,286.0,396.0,3.333,53.758,0.133,0.769,0.136,0.01,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_63,63.0,0.09,0.007,0.055,1.0,0.14,0.941,1.089,3,0.8098290598,1.0,1.0,0.884285964,0.8699647533,0.051,0.5291005291,-0.111,1.0,0.8771253586,243.0,287.0,386.0,11.111,1587.286,0.611,0.917,0.098,0.005,,n/a,1,n/a,n/a,n/a,n/a,n/a,0,n/a,1,1,7
tc100_def_479,479.0,0.22,0.0175,0.055,1.0,0.145,0.818,1.052,0,0.7991452991,1.0,1.0,0.9057857018,0.8746223565,0.051,0.5154639175,-0.151,1.0,0.8902040291,237.0,288.0,405.0,4.545,259.714,0.25,0.82,0.099,0.005,,n/a,1,n/a,0,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_942,942.0,0.22,0.009,0.04,1.0,0.114,1.16,2.135,0,0.8653846154,1.0,1.0,0.846005943,0.7382930514,0.051,0.6134969325,0.905,1.0,0.7921494972,315.0,289.0,60.0,4.545,505.0,0.182,0.82,0.061,0.002,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
