,test #,Kr,Tn,Tv,PR,RT,P-Eng,S-Eng,pressure_max_peak_idx,norm_RT,PR_apr_a,norm_transformed_PR,norm_Eng_p,norm_Eng_s,RT_min,RT_apr_a,norm_RT_ref,PR_apr_b,norm_Eng_combined,R1,R2,R3,kp,ki,kd,ess_step,IAE,ITAE,Warning,mr_rt_vs_pr_f,mr_rt_vs_pr_l,mr_eng_p,mr_kp_rt,mr_kpki,mr_kp_ess,mr_Tn_ess,mr_kd_ki,mr_kp_kd,total_1,total_0,total_na
tc100_def_633,633.0,0.12,0.01,0.04,1.002,0.099,1.184,1.271,0,0.8974358974,0.99992,0.998,0.8418108722,0.8470543807,0.051,0.6756756757,0.786,0.99992,0.8444326264,48.0,66.0,101.0,8.333,833.3,0.333,0.893,0.087,0.004,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_279,279.0,0.14,0.012,0.04,1.003,0.101,1.139,1.217,0,0.8931623932,0.99982,0.996,0.84967663,0.8538519637,0.051,0.6666666667,0.802,0.99982,0.8517642969,45.0,67.0,91.0,7.143,595.25,0.286,0.877,0.088,0.004,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_226,226.0,0.3,0.024,0.01,1.081,0.065,1.715,1.694,0,0.9700854701,0.86878,0.902,0.748994931,0.7938066465,0.051,0.8771929825,0.516,0.8822207304,0.7714007887,435.0,68.0,257.0,3.333,138.875,0.033,0.769,0.042,0.001,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_480,480.0,0.3,0.042,0.01,1.064,0.076,1.45,1.63,0,0.9465811966,0.91808,0.923,0.7953155043,0.8018630413,0.051,0.8,0.603,0.9202978603,0.7985892728,295.0,69.0,214.0,3.333,79.357,0.033,0.769,0.056,0.002,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_670,670.0,0.3,0.0225,0.01,1.082,0.064,1.753,1.724,0,0.9722222222,0.86552,0.901,0.7423527355,0.7900302115,0.051,0.8849557522,0.508,0.879869919,0.7661914735,452.0,70.0,261.0,3.333,148.133,0.033,0.769,0.041,0.001,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_543,543.0,0.3,0.046,0.01,1.06,0.078,1.416,1.637,0,0.9423076923,0.928,0.928,0.8012585212,0.8009818731,0.051,0.7874015748,0.619,0.9287016636,0.8011201972,280.0,71.0,210.0,3.333,72.457,0.033,0.769,0.059,0.002,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_182,182.0,0.22,0.0305,0.025,1.055,0.087,1.236,1.249,0,0.9230769231,0.9395,0.934,0.8327215522,0.8498237664,0.051,0.7352941176,0.69,0.9388856812,0.8412726593,182.0,72.0,163.0,4.545,149.016,0.114,0.82,0.088,0.004,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_137,137.0,0.22,0.017,0.035,1.007,0.097,1.169,1.489,0,0.9017094017,0.99902,0.992,0.8444327915,0.819612286,0.051,0.6849315068,0.77,0.99902,0.8320225387,79.0,73.0,122.0,4.545,267.353,0.159,0.82,0.078,0.003,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_312,312.0,0.23,0.024,0.035,1.019,0.101,1.08,1.24,0,0.8931623932,0.99278,0.977,0.8599895123,0.8509566969,0.051,0.6666666667,0.802,0.99278,0.8554731046,52.0,74.0,93.0,4.348,181.167,0.152,0.813,0.091,0.004,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_745,745.0,0.22,0.03,0.025,1.055,0.087,1.243,1.259,0,0.9230769231,0.9395,0.934,0.8314979899,0.8485649547,0.051,0.7352941176,0.69,0.9388856812,0.8400314723,191.0,75.0,166.0,4.545,151.5,0.114,0.82,0.088,0.004,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_55,55.0,0.22,0.0255,0.035,1.023,0.102,1.063,1.149,0,0.891025641,0.98942,0.972,0.8629610208,0.8624118832,0.051,0.6622516556,0.81,0.98942,0.862686452,46.0,76.0,86.0,4.545,178.235,0.159,0.82,0.096,0.005,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
